variant_key,variant_label,test_id,subject,predicted_experts,first_relevant_rank,full_system_first_relevant_rank,rank_delta_vs_full_system,outcome_vs_full_system,top1_hit,top3_hit,top5_hit,precision_at_3,reciprocal_rank
variant_a_retrieval_only,Variant A: retrieval aggregation only,T001,Need an expert on Japanese Media and Television drama,Dr Filippo Cervelli | Dr Christopher Gerteis | Dr Griseldis Kirsch,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T002,Need an expert on Gaofeng and Contributions to Political Economy (44,Dr Gaofeng Meng | Professor Laixiang Sun,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T003,Need an expert on International economic law and OHADA law,Dr Jonathan Bashi Rudahindwa | Dr Olivia Lwabukuna,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T004,Need an expert on Legal history and comparative international laws,Dr Kanika Sharma | Dr Justine K Collins | Professor Eddie Bruce-Jones | Dr Moataz El Fegiery | Dr Nimer Sultany,2,2,0,tie,0,1,1,0.6667,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T005,Need an expert on Law and colonialism and Law and society in South Asia (especially gender issues,Dr Kanika Sharma | Dr Mayur Suresh | Dr Anandi Rao,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T006,Need an expert on Military law and criminal law,Dr Kanika Sharma | Dr Nimer Sultany | Dr Kate Grady,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T007,Need an expert on Simbarashe and Enonchong and Laura-Stella,Dr Laura-Stella Enonchong | Dr Olivia Lwabukuna,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T008,Need an expert on Vidya and Public Law (April,Dr Vidya Kumar | Dr Kanika Sharma,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T009,Need an expert on M.E and Raha,Dr Randa Alami | Dr Sarah Njeri | Dr Sonali Deraniyagala,,,,tie,0,0,0,0.0,0.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T010,Need an expert on Ian and Trusts and Trustees (15,Mr Ian D Edge | Dr Jonathan Ercanbrack | Dr Nimer Sultany,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T011,Need an expert on Human Rights Law and British Colonial Indentureship,Professor Eddie Bruce-Jones | Dr Kanika Sharma | Dr Michelle Staggs Kelsall | Dr Paul O'Connell | Dr Justine K Collins,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T012,Need an expert on environmental justice and climate,Dr Giuseppina Siciliano | Professor Philippe Cullet | Professor Thoko Kaime,2,2,0,tie,0,1,1,0.3333,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T013,Need an expert on Prof Welchman has published widely and and (co-edited with Sara Hossain) ‘Honour’: Crimes,Professor Lynn Welchman,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T014,Need an expert on ‘The Civil Service UK Style: Facing up to change?’ in K-P Sommermann and Routledge,Professor Emma Crewe | Professor Peter Leyland,2,2,0,tie,0,1,1,0.3333,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T015,Need an expert on law and policy concerning the environment and natural resources (in particular water and sanitation,Professor Philippe Cullet | Dr Giuseppina Siciliano | Professor Thoko Kaime,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T016,Need an expert on Muslim Family Law in UK and Europe and Family Law,Professor Samia Bano | Professor Mashood Baderin | Mr Ian D Edge | Dr Moataz El Fegiery,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T017,Need an expert on Humanitarian intervention and post-conflict reconstruction,Dr Althea-Maria Rivas | Dr Sarah Njeri | Dr Mujge Kucukkeles | Professor Christopher Cramer,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T018,Need an expert on Refugee protection and livelihoods and housing,Dr Anna Lindley | Dr Paolo Novak | Professor Laura Hammond | Dr Mujge Kucukkeles | Dr Tania Kaiser,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T019,Need an expert on Political economy and Peace,Professor Jonathan Goodhand | Dr Sonali Deraniyagala | Dr Folahanmi Aina | Dr Althea-Maria Rivas | Professor Christopher Cramer,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T020,Need an expert on Political ecology and Sustainability and green transformations,Dr Giuseppina Siciliano | Dr Risa Morimoto | Dr Yannis Dafermos | Dr Chandni Dwarkasing,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T021,Need an expert on Climate change mitigation and Energy geographies,Dr Giuseppina Siciliano | Dr Jon Phillips | Dr Risa Morimoto,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T022,Need an expert on Socioecological harm and Political Ecology,Dr Lisa Tilley | Dr Giuseppina Siciliano,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T023,Need an expert on International Political Economy and Development Economics,Dr Sonali Deraniyagala | Dr Lorena Lombardozzi | Professor Mushtaq Khan | Professor Ha-Joon Chang | Dr Fernando Rugitsky,2,2,0,tie,0,1,1,0.3333,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T024,Need an expert on Class relations and its co-constitution with other social relations such as caste and gender,Dr Manish Maskara,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T025,Need an expert on Institutions and international institutions,Dr Miguel Nino-Zarazua | Dr Subir Sinha,2,2,0,tie,0,1,1,0.3333,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T026,Need an expert on Forced migration and protracted refugee situations,Dr Paolo Novak | Dr Anna Lindley | Dr Althea-Maria Rivas | Professor Laura Hammond | Dr Tania Kaiser,3,2,1,loss,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T027,Need an expert on Labour and Agrarian change,Professor Carlos Oya | Professor Christopher Cramer | Professor Dzodzi Tsikata,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T028,Need an expert on Africa and Ghana,Professor Dzodzi Tsikata | Professor Michael Jennings | Professor Carlos Oya | Dr Seraphin Kamdem,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T029,Need an expert on Armed conflict & violence and War economies,Professor Jonathan Goodhand | Dr Althea-Maria Rivas | Professor Christopher Cramer,1,1,0,tie,1,1,1,0.6667,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T030,Need an expert on Laura Hammond is an anthropologist (Ph and D University of Wisconsin-Madison,Dr Laura-Stella Enonchong | Dr Giuseppina Siciliano | Professor Laura Hammond,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T031,Need an expert on Development in Africa and NGOs,Professor Michael Jennings | Dr Althea-Maria Rivas,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T032,Need an expert on Politics of development and Bangladesh,Professor Naomi Hossain | Dr Althea-Maria Rivas,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T033,Need an expert on Conflict and Security,Dr Althea-Maria Rivas | Professor Zoë Marriage | Dr Folahanmi Aina,2,2,0,tie,0,1,1,0.6667,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T034,Need an expert on Structural Change and International Trade,Dr Lorena Lombardozzi | Dr Sonali Deraniyagala | Dr Arnaud Persenda | Professor Antonio Andreoni | Dr Anisa Muzaffar,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T035,Need an expert on Political economy and Food policy,Dr Sara Stevano | Dr Lorena Lombardozzi | Dr Arnold Fang | Dr Annabel de Frece | Professor Christopher Cramer,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T036,Need an expert on Venture Capital investment in Africa and Startups development,Dr Carl Adams Kopati Gbali | Professor Michael Jennings | Professor Victor Murinde | Dr Jonathan Bashi Rudahindwa,1,1,0,tie,1,1,1,0.3333,1.0
variant_a_retrieval_only,Variant A: retrieval aggregation only,T037,Need an expert on Ecological economics and Classical theories of production,Dr Risa Morimoto | Dr Yannis Dafermos | Dr Chandni Dwarkasing | Dr Hannah Bargawi,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T038,Need an expert on China and globalisation and Industrialisation,Professor Laixiang Sun | Dr Dic Lo,2,2,0,tie,0,1,1,0.3333,0.5
variant_a_retrieval_only,Variant A: retrieval aggregation only,T039,Need an expert on Applied financial econometrics and Climate finance,Dr Yannis Dafermos | Dr Risa Morimoto | Professor Ulrich Volz | Dr Dieter Wang | Dr Yuen Lo,4,4,0,tie,0,0,1,0.0,0.25
variant_a_retrieval_only,Variant A: retrieval aggregation only,T040,Need an expert on Economic development and Macroeconomic and social policies,Dr Sonali Deraniyagala | Dr Miguel Nino-Zarazua | Dr Hannah Bargawi | Dr Fernando Rugitsky | Dr Lorena Lombardozzi,3,3,0,tie,0,1,1,0.3333,0.3333
variant_a_retrieval_only,Variant A: retrieval aggregation only,T041,Need an expert on Banking and Financial Intermediation,Professor Ulrich Volz | Professor Daniela Gabor | Dr Yannis Dafermos | Dr Jonathan Acosta Smith | Dr Dieter Wang,4,4,0,tie,0,0,1,0.0,0.25
variant_a_retrieval_only,Variant A: retrieval aggregation only,T042,Need an expert on Just transition and Sustainable development,Dr Linnit Pessoa | Dr Giuseppina Siciliano | Dr Risa Morimoto | Dr Arnaud Persenda | Dr Lorena Lombardozzi,1,1,0,tie,1,1,1,0.3333,1.0
