test_id,subject,expected_experts,predicted_experts,top1_hit,top3_hit,top5_hit,precision_at_3,reciprocal_rank,coverage,approval_proxy,first_relevant_rank,recommended_count,supporting_chunk_count,recognised_outlet,manual_review_required,topic_labels
T001,Need an expert on Japanese Media and Television drama,dr griseldis kirsch | professor costas lapavitsas | dr helen macnaughtan,Dr Griseldis Kirsch,1,1,1,0.3333,1.0,1,1,1,1,1,True,False,General
T002,Need an expert on Marxist political economy and labour in China,dr gaofeng meng | dr lorena lombardozzi | dr iris nikolopoulou,Dr Frank Maracchione | Dr Gaofeng Meng | Professor Alessandra Mezzadri | Professor Carlos Oya | Dr Iris Nikolopoulou,0,1,1,0.3333,0.5,1,1,2,5,7,True,False,China | Politics
T003,Need an expert on International economic law and OHADA law,dr jonathan bashi rudahindwa | professor ulrich volz | professor michael jennings,Dr Jonathan Bashi Rudahindwa | Dr Nuhu Yidana | Dr Michelle Staggs Kelsall | Dr Paul O'Connell | Dr Sidonia Lucia Kula,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,General
T004,Need an expert on Legal history and comparative international laws,dr justine k collins | professor eddie bruce-jones | dr olivia lwabukuna,Dr Justine K Collins | Dr Nimer Sultany | Dr Moataz El Fegiery | Dr Parvathi Menon | Professor Eddie Bruce-Jones,1,1,1,0.3333,1.0,1,1,1,5,5,False,True,General
T005,Need an expert on Law and colonialism and Law and society in South Asia (especially gender issues,dr kanika sharma | professor samia bano | dr mulaika hijjas,Dr Kanika Sharma | Dr Eleanor Newbigin | Dr Mayur Suresh | Dr Rahul Rao | Dr Anandi Rao,1,1,1,0.3333,1.0,1,1,1,5,6,False,True,Gender
T006,Need an expert on Military law and criminal law,dr kate grady | dr folahanmi aina | professor samia bano,Dr Kate Grady | Dr Moataz El Fegiery | Dr Sidonia Lucia Kula | Dr Parvathi Menon | Dr Jonathan Bashi Rudahindwa,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,General
T007,Need an expert on constitutional identity and legal pluralism,dr laura-stella enonchong | professor samia bano | professor eddie bruce-jones,Dr Paul O'Connell | Dr Nimer Sultany | Dr Moataz El Fegiery | Dr Eleanor Newbigin,0,0,0,0.0,0.0,1,0,,4,4,True,False,General
T008,Need an expert on UK public law and constitutional litigation,dr vidya kumar | dr vivienne bradwell | dr gaofeng meng,Professor Peter Leyland | Dr Vidya Kumar | Dr Nimer Sultany | Dr Paul O'Connell | Michael Bartlet,0,1,1,0.3333,0.5,1,1,2,5,5,True,False,General
T010,"Need an expert on trusts, inheritance, and Middle East commercial law",mr ian d edge | dr laura-stella enonchong | professor lynn welchman,Mr Ian D Edge | Dr Moataz El Fegiery,1,1,1,0.3333,1.0,1,1,1,2,3,False,True,Middle East
T011,Need an expert on Human Rights Law and British Colonial Indentureship,professor eddie bruce-jones | professor samia bano | dr laura-stella enonchong,Professor Eddie Bruce-Jones | Dr Moataz El Fegiery | Dr Nimer Sultany | Professor Mashood Baderin | Dr Michelle Staggs Kelsall,1,1,1,0.3333,1.0,1,1,1,5,5,True,False,General
T012,Need an expert on environmental justice and climate,professor lutz oette | professor philippe cullet | dr sarah njeri,Dr Giuseppina Siciliano | Professor Thoko Kaime | Dr Jon Phillips | Professor Philippe Cullet | Dr Chandni Dwarkasing,0,0,1,0.0,0.25,1,0,4,5,6,True,False,General
T013,"Need an expert on honour crimes, gender justice, and legal reform",professor lynn welchman | dr arnold fang | professor vanja hamzić,Professor Matthew J Nelson,0,0,0,0.0,0.0,1,0,,1,1,True,False,Gender
