test_id,recommendation_rank,sender_email,outlet_name,subject,body,topic_labels,expert_name,expert_title,expert_department,confidence,rationale,supporting_chunk_1_section,supporting_chunk_1_text,supporting_chunk_2_section,supporting_chunk_2_text,supporting_chunk_3_section,supporting_chunk_3_text,annotation_label,annotation_note
T001,1,reporter1@bbc.co.uk,BBC News,Need an expert on Japanese Media and Television drama,"Looking for academic comment on Japanese Media and Television drama. Interested in policy implications, regional context, and current developments.",General,Dr Griseldis Kirsch,"Deputy Dean | School of Languages, Cultures and Linguistics | Reader in Contemporary Japanese Culture",College of Humanities,High,"Matched on retrieved evidence from research_interests. Alignment observed through key term overlap: japanese, media, and, television. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,"Japanese Media, Television drama",,,,,,
T003,1,reporter3@ft.com,Financial Times,Need an expert on International economic law and OHADA law,"Looking for academic comment on International economic law, OHADA law, law and development (especially market creation, and market integration. Interested in policy implications, regional context, and current developments.",General,Dr Jonathan Bashi Rudahindwa,Deputy Dean for Learning and Teaching | College of Law | Senior Lecturer in Law,College of Law,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: International economic law, OHADA law; key term overlap: and, development, especially, market. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,International economic law; OHADA law; law and development (especially market creation; market integration; governance; and regional development in Sub-Saharan Africa); regionalism; international inequality,,,,,,
T004,1,writer4@gmail.com,Freelance journalist,Need an expert on Legal history and comparative international laws,"Looking for academic comment on Legal history, comparative international laws, property law, and colonial slavery laws. Interested in policy implications, regional context, and current developments.",General,Dr Justine K Collins,USAWA Postdoctoral Fellow,College of Law,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: Legal history, comparative international laws; key term overlap: and, colonial, slavery. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,Legal history; comparative international laws; property law; colonial slavery laws; indigenous studies; private international law; Projects; Indigenous colonial slavery and regulation in the English Atlantic World; SOAS School of Law's Carceral Policy; Policing and Race project,,,,,,
T006,1,reporter6@economist.com,The Economist,Need an expert on Military law and criminal law,"Looking for academic comment on Military law, criminal law, international criminal law, and peace and security. Interested in policy implications, regional context, and current developments.",General,Dr Kate Grady,"Senior Lecturer in Law, PhD Admissions Tutor",College of Law,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: Military law, criminal law; key term overlap: and, peace, security. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,"Military law, criminal law, international criminal law, peace and security, peacekeeping, critical legal theories",,,,,,
T011,1,reporter11@theguardian.com,The Guardian,Need an expert on Human Rights Law and British Colonial Indentureship,"Looking for academic comment on Human Rights Law, British Colonial Indentureship, Law & Humanities, and Comparative Equality Law. Interested in policy implications, regional context, and current developments.",General,Professor Eddie Bruce-Jones,Dean of College,College of Law,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: Human Rights Law, British Colonial Indentureship; key term overlap: comparative, equality. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,"Human Rights Law, British Colonial Indentureship, Law & Humanities, Comparative Equality Law, Citizenship & Migration, Critical Theory",,,,,,
T002,1,reporter2@reuters.com,Reuters,Need an expert on Marxist political economy and labour in China,"Looking for academic comment on Marxist political economy, labour, and contemporary debates in political economy scholarship on China.",China | Politics,Dr Frank Maracchione,ESRC Postdoctoral Fellow,Department of Politics and International Studies,Medium,"Matched on retrieved evidence from research_interests. Alignment observed through key term overlap: political, economy, and, labour. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,l upgrading (including labour and social rights); and technological transfer; particularly in Chinese-funded production. He has a special focus on green industries like solar panels and electric vehicles (EV) supply chains; particularly in Central Asia (Uzbekistan); and associated shifts in labour-state-capital relations; 2) The political economy of public opinion; contestation; and backlash: Using fieldwork interviews; survey data; and LLM; AI-powered topic modelling; he analyses how sentiment towards foreign powers becomes a political identity-making device. Specifically; he traces how China and the U. S.,research_interests,Frank is a critical political economist and IR scholar studying Global China and specialising in how local sociocultural norms and actors shape global political and economic processes. His work approaches globalisation not as a one-directional structural force; but as a site of contestation; where communities; capital; firms; and state elites negotiate meaning; power; and economic futures; Empirically; he explores the global rise of the People's Republic of China; and how China's presence abroad reshapes global knowledge production; development models; and political alignments in the Global South and beyond. His research spans Asia and Latin America; while exploring Europe and the U. S.,,,,
T002,2,reporter2@reuters.com,Reuters,Need an expert on Marxist political economy and labour in China,"Looking for academic comment on Marxist political economy, labour, and contemporary debates in political economy scholarship on China.",China | Politics,Dr Gaofeng Meng,Lecturer in Law,College of Law,Medium,"Matched on retrieved evidence from research_interests. Alignment observed through key term overlap: political, economy, and, china. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,2023; Studies in Marxism (Political Studies Association. Marxism Specialist Group) (16); pp 75-97; Resolving Douglass C. North's 'puzzle' concerning China's household responsibility system; Deakin; Simon and Meng; 2021; Journal of Institutional Economics (18); pp 521-535; The Governance of Covid-19: Anthropogenic Risk; Evolutionary Learning; and the Future of the Social State; 2020; Industrial Law Journal (49); pp 539-594; The Household Responsibility System; Karl Marx's Theory of Property and Antony M. Honoré's Concept of Ownership; 2019; Science and society (83); pp 300-326; Post-capitalist property; Ireland; Paddy and Meng; 2017; Economy and Society (46); pp 369-397; Contemporary China's Rural Landownership with Reference to Antony M. Honoré's Concept of Ownership; 2016; Journal of Economic Issues (50); pp 667-694,research_interests,Articles; Close; The Nature of Property in Modern Capitalism. Review article of Property in Contemporary Capitalism; (2024) by Paddy Ireland; Meng; Gaofeng; 2025; Contributions to Political Economy (44); pp 128-158; View this article; Rethinking Marx's Theory of Property with special reference to the Evolution of Property Relations in the Rural Areas of China; 2023; Studies in Marxism (Political Studies Association. Marxism Specialist Group) (16); pp 75-97; Resolving Douglass C.,,,,
T017,1,reporter17@ft.com,Financial Times,Need an expert on Humanitarian intervention and post-conflict reconstruction,"Looking for academic comment on Humanitarian intervention, post-conflict reconstruction, the politics of global development, and everyday violence in post-conflict settings. Interested in policy implications, regional context, and current developments.",Development | Politics,Dr Althea-Maria Rivas,"Senior Lecturer in Global Development, Peace and Conflict | Associate Member",Department of Development Studies,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: Humanitarian intervention, post-conflict reconstruction; key term overlap: and, everyday, violence, settings. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,"Humanitarian intervention, post-conflict reconstruction, the politics of global development, everyday violence in post-conflict settings, gender (in)security, violence and development, race, racism and development, peace and justice, emotion and conflict, the relationship between peace, forgiveness and justice, black and indigenous feminisms, feminist and decolonial theory and pedagogy, postcolonial conversations on resistance and development, research methods and ethics. Regional focus: Central",,,,,,
T017,2,reporter17@ft.com,Financial Times,Need an expert on Humanitarian intervention and post-conflict reconstruction,"Looking for academic comment on Humanitarian intervention, post-conflict reconstruction, the politics of global development, and everyday violence in post-conflict settings. Interested in policy implications, regional context, and current developments.",Development | Politics,Professor Phil Clark,Professor of International Politics,Department of Politics and International Studies,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: post-conflict reconstruction; key term overlap: and, the, politics, violence. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,ner for Human Rights project surveying popular perceptions of transitional justice and peacebuilding in northern Uganda. He has advised the Danish; Sudanese; Swedish; Ugandan and UK governments; the ICC; the International Criminal Tribunal for Rwanda; Human Rights Watch and Crisis Group on conflict issues in Africa; History; Politics and Law of the African Great Lakes; Transitional Justice Theory and Practice; the Politics of Violence; Community-Based and Customary Law; Conflict Resolution and Reconciliation; the Politics of International Criminal Justice; Peacebuilding; Security and Post-Conflict Reconstruction; Moral and Political Philosophy; Ph; D Supervision; Professor Clark welcomes Ph; D proposals on any of the following topics: causes of and responses to genocide and other mass atrocities; transitional justice; peacebuilding or reconciliation; the politics of Central Africa; including the ICC;,research_interests,ss atrocities; transitional justice; peacebuilding or reconciliation; the politics of Central Africa; including the ICC; traditional or customary approaches to dispute resolution,,,,
T019,1,writer19@gmail.com,Freelance journalist,Need an expert on Political economy and Peace,"Looking for academic comment on Political economy, Peace, Security and development, and Violence and conflict. Interested in policy implications, regional context, and current developments.",Politics,Dr Folahanmi Aina,Lecturer in Development Studies,Department of Development Studies,High,"Matched on retrieved evidence from research_interests. Alignment observed through exact query phrase matches: Political economy, Security and development; key term overlap: peace, violence, conflict. Recommendation is grounded in profile content and should be reviewed by staff before outreach.",research_interests,Political economy; Peace; Security and development; Violence and conflict; Terrorism; insurgency and extremism; Lake Chad Basin and Sahel Regions,,,,,,
